AVERAGE	BEST
0.291568	0.999965
0.333332	0.999965
0.290507	0.999965
0.319182	0.999965
0.350846	0.999965
0.393770	0.999965
0.403790	0.999965
0.365500	0.999965
0.396716	0.999965
0.414841	0.999965
0.316744	0.999965
0.411240	0.999965
0.335562	0.999965
0.332354	0.999965
0.339830	0.999965
0.317682	0.999965
0.395559	0.999965
0.414727	0.999965
0.329103	0.999965
0.352600	0.999965
0.379264	0.999965
0.431928	0.999965
0.345720	0.999965
0.377519	0.999965
0.326812	0.999965
0.367859	0.999965
0.380679	0.999965
0.433952	0.999965
0.395562	0.999965
0.389103	0.999965
0.320489	0.999965
0.389249	0.999965
0.332989	0.999965
0.369796	0.999965
0.309978	0.999965
0.308664	0.999965
0.455825	0.999965
0.392364	0.999965
0.395144	0.999965
0.451800	0.999965
0.348057	0.999965
0.372582	0.999965
0.446169	0.999965
0.412726	0.999965
0.435647	0.999965
0.428306	0.999965
